,cd8a,cd8a,cd8b,cd8b
,count,mean,count,mean
singler_coarse,,,,
B,3,0.0,3,0.607
CD4_T,142,0.569,142,1.367
CD8_T,79,1.359,79,1.962
NK,1,0.0,1,0.0
unassigned,4,1.802,4,1.481
